id	affiliation_string	ror
40	State Key Laboratory of Optical Technologies on Nano‐Fabrication and Micro‐Engineering Institute of Optics and Electronics Chinese Academy of Sciences Chengdu China	https://ror.org/02z7b8p30
41	[Demetron]	
42	Demetron GmbH	
43	SungKyunKwan University	https://ror.org/04q78tk20
44	Korea University	
45	School of Biological Sciences	
46	Department of Plastics and Rubber , Technology University Colleges of Science and Technology , Calcutta, 700009, India	https://ror.org/01e7v7w47
47	Department of Microbiology & Immunology, Geisel School of Medicine at Dartmouth, Hanover, New Hampshire, USA.	https://ror.org/049s0rh22
48	University of Toronto, Department of Molecular Genetics and Department of Biochemistry, Toronto, Ontario, Canada	https://ror.org/03dbr7087
49	Geisel School of Medicine at Dartmouth Department of Microbiology and Immunology Hanover New Hampshire USA	https://ror.org/049s0rh22
50	Kantonsspitals Winterthur, Schweiz; Pathologischen Instituten der Universität Zürich, Schweiz	https://ror.org/014gb2s11
51	Kantonsspitals Winterthur, Schweiz; Pathologischen Instituten der Universität Zürich, Schweiz	https://ror.org/02crff812
52	School of Physics Science and Technology, Nanjing Normal University, Nanjing#N#210097,#N#People’s Republic of China	https://ror.org/036trcv74
53	Department of Applied Physics, College of Science, South China Agricultural University,#N#Guangzhou 510640,#N#People’s Republic of China; State Key Laboratory of Optoelectronic Materials and Technologies, School of Physics and#N#Engineering, Sun Yat-sen University, Guangzhou 510275,#N#People’s Republic of China	https://ror.org/0064kty71
54	Department of Applied Physics, College of Science, South China Agricultural University,#N#Guangzhou 510640,#N#People’s Republic of China; State Key Laboratory of Optoelectronic Materials and Technologies, School of Physics and#N#Engineering, Sun Yat-sen University, Guangzhou 510275,#N#People’s Republic of China	https://ror.org/05v9jqt67
55	Department of Food, Agricultural and Biological Engineering, The Ohio State University, Columbus OH 43210-1057.	https://ror.org/00rs6vg23
56	Advanced Foods Branch, Sustainability Directorate, U.S. Army Natick RD&E Center SSCOM, Natick MA 01760-5018. Corresponding author. Phone: 508/233-4516. Fax: 508/233-5274. E-mail: abarrett@natick-enh2.army.mil	https://ror.org/00qa9vw67
57	Departamento de Física , Universidad de Extremadura , E-06071 Badajoz, Spain	https://ror.org/0174shg90
58	Institute for Theoretical Physics, Utrecht University, P.O. Box 80006, 3508 TA Utrecht, The Netherlands	https://ror.org/04pp8hn57
59	Department of Oncology, University & General Hospital, Udine, Italy.	https://ror.org/02zpc2253
60	Department of Oncology, University & General Hospital, Udine, Italy.	https://ror.org/05ht0mh31
61	Department of Oncology, University & General Hospital, Pisa, Italy	https://ror.org/05xrcj819
62	Dept. of Electron. Syst., R. Inst. of Technol., Stockholm, Sweden	https://ror.org/026vcq606
63	School of Computer, National University of Defense, Technology Changsha, China	https://ror.org/05d2yfz11
64	I. V. Kurchatov Atomic Energy Institute, Academy of Sciences, Moscow, USSR††Present address: Institute of Nuclear Physics, Academy of Sciences, Novosibirsk, USSR.	https://ror.org/00n1nz186
65	Centro de Biología Molecular Severo Ochoa, Consejo Superior de Investigaciones Cientificas (CSIC)/Universidad Autonoma de Madrid (UAM), Madrid, Spain.	https://ror.org/01cby8j38
66	Centro de Biología Molecular Severo Ochoa, Consejo Superior de Investigaciones Cientificas (CSIC)/Universidad Autonoma de Madrid (UAM), Madrid, Spain.	https://ror.org/02gfc7t72
67	Centro de Biología Molecular Severo Ochoa, Consejo Superior de Investigaciones Cientificas (CSIC)/Universidad Autonoma de Madrid (UAM), Madrid, Spain.	https://ror.org/03v9e8t09
68	Griffith University BrisbaneAustralia	https://ror.org/02sc3r913
69	University of Iowa	https://ror.org/036jqmy94
70	College of Information Science & Engineering, Central South University, Changsha, P.R. China	https://ror.org/00f1zfq44
71	Division of Hospital Infection, Central Public Health Laboratory, Colindale, London.	https://ror.org/00vbvha87
72	Rutherford Appleton Lab. (UK) and Kumho Institute of Science and Technology (South Korea)	https://ror.org/03gq8fr08
73	Rutherford Appleton Lab. (UK) and Kumho Information and Telecommunication Lab. (South Korea)	https://ror.org/03gq8fr08
74	Rutherford Appleton Lab. (United Kingdom)	https://ror.org/03gq8fr08
75	Dept of Urology, Inje University, Seoul, South Korea	https://ror.org/04xqwq985
76	School of Engineering of Universidad Pontificia Comillas, C/Alberto Aguilera, 23, 28015 Madrid, Spain	https://ror.org/017mdc710
77	Department of Industrial Chemistry, Engineering College, Kyungpook National University, Taegu 702-701, South Korea	https://ror.org/040c17130
78	Depto de Ciencias Fisiológicas, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile, Casilla 114-D, Santiago, Chile	https://ror.org/04teye511
79	Instituto de Ciencias Biomédicas, Facultad de Medicina Universidad de Chile, Santiago 6530499, Chile, the	https://ror.org/047gc3g35
80	Departments of Pharmacology and	
81	Physiology and Cell Biology, Center of Biomedical Research Excellence, University of Nevada, School of Medicine, Reno, Nevada 89557, and the	https://ror.org/01keh0577
82	Institut fur Kristallographie der , Universitat zu Koln	https://ror.org/00rcxh774
83	IV. Physikalisches Institut der Universität Göttingen	https://ror.org/01y9bpm73
84	 Department of Materials Science & Engineering, University of Toronto, Toronto, ON, Canada	https://ror.org/03dbr7087
85	Russian Academy of Sciences	https://ror.org/05qrfxd25
86	Department of Neurology, University Hospital (CHUV), Lausanne, Switzerland.	https://ror.org/05a353079
87	Laboratoire de l’Accélérateur Linéaire	https://ror.org/03gc1p724
88	Royal Holloway University of London	https://ror.org/04g2vpn86
89	Sch. of Electron. Inf. & control Eng., Beijing Univ. of Technol., Beijing, China	https://ror.org/037b1pp87
90	University of Miami Miller School of Medicine  Miami Florida USA	https://ror.org/02dgjyy92
91	Psychiatry and Behavioral Sciences	
92	Universidad de Tarapacá, Arica, Chile	https://ror.org/04xe01d27
93	Department of Radiology, The University of Texas Health Science Center, 7703 Floyd Curl Drive, San Antonio, Texas 78284 USA.	https://ror.org/02f6dcw23
94	Department of Cellular and Structural Biology, The University of Texas Health Science Center, 7703 Flyod Curl Drive, San Antonio, Texas 78284 USA.	https://ror.org/02f6dcw23
95	Univ.\ of Tokyo	https://ror.org/057zh3y96
96	Medical Chemistry	
97	Marseille – France	
98	Alcan International Ltd, Southam Road, Banbury , GB-Oxon, 0X16 7SP, Great-Britain	https://ror.org/05m7zw681
99	Department of Chemistry, University of Georgia, Athens, 30602 USA	https://ror.org/00te3t702
100	 Cardiac Electrophysiology Research and Training Center, Chiang Mai University, Chiang Mai, Thailand.	https://ror.org/05m2fqn25
101	Seoul National Univ.#TAB#	https://ror.org/04h9pn542
102	Canadian Center of Science and Education	
103	University of Sydney, Australia;	https://ror.org/0384j8v12
104	REQUIMTE, Departamento de Química, Faculdade de Ciências, Universidade do Porto , Rua do Campo Alegre S/N, 4169-007 Porto, Portugal.	https://ror.org/043pwc612
105	REQUIMTE, Departamento de Química, Faculdade de Ciências, Universidade do Porto , Rua do Campo Alegre S/N, 4169-007 Porto, Portugal.	https://ror.org/04j14t006
106	Laboratório de Catálise e Materiais – Laboratório Associado LSRE/LCM, Faculdade de Engenharia, Universidade do Porto, Rua Dr. Roberto Frias, s/n, 4200-465 Porto, Portugal	https://ror.org/043pwc612
107	REQUIMTE, Departamento de Química, Faculdade de Ciências, Universidade do Porto, Rua do Campo Alegre, s/n, 4169-007 Porto, Portugal	https://ror.org/043pwc612
108	REQUIMTE, Departamento de Química, Faculdade de Ciências, Universidade do Porto, Rua do Campo Alegre, s/n, 4169-007 Porto, Portugal	https://ror.org/04j14t006
109	Laboratory of Gynecological Physiopathology, Department of Obstetrics and Gynecology (K.U.L.), Academisch Ziekenhuis St. Rafaël, Leuven, Belgium	https://ror.org/0424bsv16
110	U.S. Air Force, Dental Corps, Wilford Hall USAF Medical Center, Lackland Air Force Base, Texas 78236-5300.	https://ror.org/006gmme17
111	U.S. Air Force, Dental Corps, Wilford Hall USAF Medical Center, Lackland Air Force Base, Texas 78236-5300.	https://ror.org/025m0q735
112	Dr. Wood is lieutenant colonel, U.S. Air Force, Dental Corps, and assistant chairman, Department of Orthodontics, Wilford Hall Medical Center, Lackland Air Force Base.	https://ror.org/006gmme17
113	Dr. Wood is lieutenant colonel, U.S. Air Force, Dental Corps, and assistant chairman, Department of Orthodontics, Wilford Hall Medical Center, Lackland Air Force Base.	https://ror.org/025m0q735
114	Department of Bioagricultural Sciences, National Chiayi University, Chiayi, Taiwan	https://ror.org/04gknbs13
115	Institut für Festkörperphysik, Technische Universität Berlin, Hardenbergstr. 36 10623 Berlin, Germany	https://ror.org/03v4gjf40
116	Institut für Experimentelle Physik, Otto-von-Guericke Universität Magdeburg, Universitätsplatz 2, 39106 Magdeburg, Germany.	https://ror.org/00ggpsq73
117	Coordination Chemistry Institute, State Key Laboratory of Coordination Chemistry, Nanjing University, Centre for Advanced Studies in Science and Technology of Microstructures, Nanjing, China	https://ror.org/01rxvg760
118	Coordination Chemistry Institute, State Key Laboratory of Coordination Chemistry, Nanjing University, Centre for Advanced Studies in Science and Technology of Microstructures, Nanjing, China	https://ror.org/04ttadj76
119	Ph. D., American University in Cairo and Suez Canal University	https://ror.org/0176yqn58
120	Ph. D., American University in Cairo and Suez Canal University	https://ror.org/02m82p074
121	B.Sc. Petrobel Company	
122	Division of Plastic Surgery, University of Miami School of Medicine, Miami Children's Hospital, Fla 33125, USA.	https://ror.org/02dgjyy92
123	Division of Plastic Surgery, University of Miami School of Medicine, Miami Children's Hospital, Fla 33125, USA.	https://ror.org/048d1b238
124	Federal University of Minas Gerais, Belo Horizonte, BRAZIL	https://ror.org/0176yjw32
125	Department of Solid State Engineering, Institute of Chemical Technology, 166 28 Prague, Czech Republic	https://ror.org/05ggn0a85
126	Nuclear Physics Institute AS, 250 68 Rez, Czech Republic	https://ror.org/04jymbd90
127	Königsberg i. Pr.	
128	University of Iowa, Iowa City	https://ror.org/036jqmy94
129	Boston University School of Medicine, Mass	https://ror.org/03ps5d564
130	University of Alabama at Birmingham	https://ror.org/008s83205
131	University of California at San Francisco	https://ror.org/043mz5j54
132	US Department of Agriculture, Human Nutrition Research Center for Aging, Tufts University, Boston, Mass	https://ror.org/05wvpxv85
133	Arkansas State University	https://ror.org/006pyvd89
134	University of Cincinnati**	https://ror.org/01e3m7079
135	University of Central Arkansas ,	https://ror.org/029bp0k25
136	Sandia National Laboratories (United States)	https://ror.org/01apwpt12
137	Department of Organic Chemistry, St. Petersburg Institute of Technology (Technical University), Moskovskii pr 26, 190013 St. Petersburg, Russia	https://ror.org/0338jc112
138	Institute für Chemie und Biochemie, Freie Universität Berlin, Fabeckstrasse 34–36, 14195 Berlin, Germany; School of Engineering and Science, Jacobs University Bremen, Campus Ring 1, 28759 Bremen, Germany https://www.jacobs‐university.de/de/groeschenthaler/researchgrouphttps://www.jacobs‐university.de/de/ses/groeschenthaler	https://ror.org/02yrs2n53
139	Institute für Chemie und Biochemie, Freie Universität Berlin, Fabeckstrasse 34–36, 14195 Berlin, Germany; School of Engineering and Science, Jacobs University Bremen, Campus Ring 1, 28759 Bremen, Germany https://www.jacobs‐university.de/de/groeschenthaler/researchgrouphttps://www.jacobs‐university.de/de/ses/groeschenthaler	https://ror.org/046ak2485
140	School of Engineering and Science, Jacobs University Bremen, Campus Ring 1, 28759 Bremen, Germany https://www.jacobs-university.de/de/groeschenthaler/researchgrouphttps://www.jacobs-university.de/de/ses/groeschenthaler	https://ror.org/02yrs2n53
141	UniversitÈ de Nantes	https://ror.org/03gnr7b55
142	University Hospital Department of Dermatology Brest France	https://ror.org/03evbwn87
143	Children's Memorial Hospital	https://ror.org/03a6zw892
144	Children's Memorial Hospital	https://ror.org/00mjfew53
145	University of Dundee#TAB#	https://ror.org/03h2bxq36
146	University of Giessen Department of Psychosomatic Medicine‐Psychodermatology Giessen Germany	https://ror.org/033eqas34
147	Aarhus university;	https://ror.org/01aj84f44
148	St. Justine University Hospital	https://ror.org/01gv74p78
149	Intensive Care and Dermatological Sciences Department of Anesthesia Milan Italy	
150	Vrije Universiteit Brüssel	https://ror.org/006e5kg04
151	Hopital l'Archet	https://ror.org/02fsxgh46
152	Universidade de São Paulo	https://ror.org/036rp1748
153	Rady Children's Hospital.	https://ror.org/00414dg76
154	Department of Molecular & Medical Pharmacology, David Geffen School of Medicine at UCLA, University of California Los Angeles, Los Angeles, USA	https://ror.org/046rm7j60
155	CEH BanchoryHill of Brathens, Banchory, Aberdeenshire AB31 4BY, UK	https://ror.org/00pggkr55
156	Institute of Evolutionary Biology, University of Edinburgh, King’s Buildings, Edinburgh EH9 3JT, UK ,	https://ror.org/01nrxwf90
157	College of Marine Geosciences, Ocean University of China, Qingdao, Shandong, People's Republic of China; Key Laboratory of Sea Floor Science and Exploration Technique, Ministry of Education, Qingdao, Shandong, People's Republic of China, 266100	https://ror.org/04rdtx186
158	Department of Geology, University of South Florida, Tampa, FL, 33620 U.S.A	https://ror.org/032db5x82
159	College of Marine Geosciences, Ocean University of China, Qingdao, Shandong, People's Republic of China	https://ror.org/04rdtx186
160	Hydrobiological Institute of the Academy of Sciences of the Czech Republic, Na Sádkách 7, CZ‐37005 Céské Budéjovice, Czech Republic.	https://ror.org/0436nxt45
161	Faculty of Biological Sciences, University of South Bohemia, CZ-37005 Céské Budéjovice, Czech Republic.; Hydrobiological Institute of the Academy of Sciences of the Czech Republic, Na Sádkách 7, CZ‐37005 Céské Budéjovice, Czech Republic.	https://ror.org/033n3pw66
162	Faculty of Biological Sciences, University of South Bohemia, CZ-37005 Céské Budéjovice, Czech Republic.; Hydrobiological Institute of the Academy of Sciences of the Czech Republic, Na Sádkách 7, CZ‐37005 Céské Budéjovice, Czech Republic.	https://ror.org/0436nxt45
163	Perimeter Institute for Theoretical Physics, Waterloo, Canada, Department of Physics, University of Guelph, Guelph, Canada, and Center for Computation and Technology, Louisiana State University, Baton Rouge	https://ror.org/013m0ej23
164	Perimeter Institute for Theoretical Physics, Waterloo, Canada, Department of Physics, University of Guelph, Guelph, Canada, and Center for Computation and Technology, Louisiana State University, Baton Rouge	https://ror.org/01r7awg59
165	Perimeter Institute for Theoretical Physics, Waterloo, Canada, Department of Physics, University of Guelph, Guelph, Canada, and Center for Computation and Technology, Louisiana State University, Baton Rouge	https://ror.org/05ect4e57
166	Center for Computation and Technology#R##N#Louisiana State University	https://ror.org/05ect4e57
167	Center for Computation and Technology and Department of Computer Science, Louisiana State University	https://ror.org/05ect4e57
168	University of Illinois Urbana Champaign >  >  >  >	https://ror.org/047426m28
169	Naval Electronics Laboratory Center San Diego, Calif. 92152	https://ror.org/01nejhz12
170	William Mitchell College of Law.	https://ror.org/01bcdmq48
171	Authors are with Dept. of Food, Agricultural & Biological Engineering, The Ohio State Univ., 590 Woody Hayes Dr., 206 Agricultural Engineering Bldg., Columbus, OH 43210-1058, U.S.A. Direct inquiries to author Sastry (E-mail: sastry.2@osu.edu).	https://ror.org/00rs6vg23
172	[University of Freiburg,Germany]	https://ror.org/0245cg223
173	Hamburg University of Technology,Germany	https://ror.org/04bs1pb34
174	Environmental Chemistry Division, Department of Environmental Sciences, Bharathiar University, Coimbatore‐641 046. Tamil Nadu, India	https://ror.org/04fht8c22
175	VicHealth Tobacco Control Centre, Carlton, Vic, Australia.	https://ror.org/02j2fth58
176	Department of Psychology University of Notre Dame 118 Haggar Hall Notre Dame IN 46556 USA	https://ror.org/00mkhxb43
177	Department of Educational Psychology, 5th Floor Teacher’s Collage, Ball State University, Muncie IN 47306	https://ror.org/00k6tx165
178	Department of Microbiology, Montana State University, Bozeman 59717-3520, USA.	https://ror.org/02w0trx84
179	Electr. & Comput. Eng. Dept., Univ. of Delaware, Newark, DE, USA	https://ror.org/01sbq1a82
180	Appl. Phys. Lab., Univ. of Washington, Seattle, WA, USA	https://ror.org/00cvxb145
181	Dept. of Electr. & Comput. Eng., Univ. of Cincinnati, Cincinnati, OH, USA	https://ror.org/01e3m7079
182	Air Force Res. Lab. Sensors Directorate, WPAFB, Dayton, OH, USA	https://ror.org/0097e1k27
183	Air Force Res. Lab. Sensors Directorate, WPAFB, Dayton, OH, USA	https://ror.org/054yf8v46
184	Dept. of Comput Sci., Wayne State Univ., Detroit, MI, USA	https://ror.org/01070mq45
185	Texas Instrum., Inc., Dallas, TX, USA	https://ror.org/03vsmv677
186	St. Louis, Missouri, USA	
187	Department of Chemical Physics and Macromolecular Chemistry , Kazak National University , Almaty, Kazakhstan	https://ror.org/03q0vrn42
188	Hydr. Engr., Corps of Engrs., U. S. Dept. of the Army, Mobile Dist., Mobile, Ala.	https://ror.org/00afsp483
189	National Institute of Informatics,	https://ror.org/04ksd4g47
190	Laboratory of Cellular Physiology and Metabolism, National Heart Institute, National Institutes of Health, Bethesda 14, Maryland	https://ror.org/012pb6c26
191	Laboratory of Cellular Physiology and Metabolism, National Heart Institute, National Institutes of Health, Bethesda 14, Maryland	https://ror.org/01cwqze88
192	Employee Benefit Research Institute (EBRI).	https://ror.org/03yshc124
193	Joseph P. Ripley Prof. of Engrg.; Cornell Univ., Ithaca, N.Y., USA	https://ror.org/05bnh6r87
194	Undergraduate Student; School of Civ. and Environmental Engrg., Cornell Univ., Ithaca, N.Y., USA	https://ror.org/05bnh6r87
195	#N##N#cDepartment of Energy Engineering Hanyang University	https://ror.org/046865y68
196	#N##TAB##TAB##TAB#aBar-Ilan University	https://ror.org/03kgsv495
197	#N##TAB##TAB##TAB#bBar Ilan University	https://ror.org/03kgsv495
198	Department of Chemistry, Tsinghua University, Beijing 100084, P. R. China	https://ror.org/03cve4549
199	LiveSTRONG Cancer Institutes	https://ror.org/04ndvz759
200	Vanderbilt University,#TAB#	https://ror.org/02vm5rt34
201	Department of Chemistry and Chemical Engineering; Baoji University of Arts and Sciences; Baoji Shaanxi 721013 China	https://ror.org/05nx0xs09
202	State Key Laboratory of Applied Organic Chemistry Key Laboratory of Nonferrous Metal Chemistry and Resources Utilization of Gansu Province Department of Chemistry Lanzhou University Lanzhou 730000 China.	https://ror.org/01mkqqe32
203	State Key Laboratory of Applied Organic Chemistry Key Laboratory of Nonferrous Metal Chemistry and Resources Utilization of Gansu Province Department of Chemistry Lanzhou University Lanzhou 730000 China.	https://ror.org/050fgfc71
204	Department of Surgery, Center for Surgical Infection Research and Therapeutics Pritzker School of Medicine, University of Chicago, Chicago, Illinois.	https://ror.org/024mw5h28
205	المركز الجامعي بتامنغست الجزائر	
206	a, WEN Min b	
207	Neonatal Room,Department of Pediatrics,the First People's Hospital of Xiangshan County,Zhejiang Province,Xiangshan 315700,China	https://ror.org/0090yh913
208	First Institute of Oceanography,State Oceanic Administration,Qingdao 266061, China)	https://ror.org/01y34t753
209	② School of Life Science,East Normal University,Shanghai 200062,China	https://ror.org/02n96ep67
210	Hebei Vocational College of Justice and Police Officers,Shijiazhuang 050081,China)	
211	Taiyuan University of Science and Technology Department of Computer,   Taiyuan  030024,  China)	https://ror.org/01wcbdc92
212	Ophthalmology Department,Luqiao Hospital,Enze Medical Center of Taizhou	https://ror.org/05m0wv206
213	2Clinical Pharmacology Institute,Medical College of Nanchang University,Nanchang 330006,China	https://ror.org/042v6xz23
214	Private Central Vocational and Technical Anatolian High School, Manisa, Turkey	
215	Celal Bayar University, Faculty of Art and Sciences, Department of Mathematics, Manisa, Turkey	https://ror.org/053f2w588
216	~1,LIN Wen-han~2,ZHANG Liang-liang~1,LIN Peng~	
217	et al Department of Radiology,Changhai Hospital,Second Military Medical University	https://ror.org/04tavpn47
218	et al Department of Radiology,Changhai Hospital,Second Military Medical University	https://ror.org/02bjs0p66
219	College of Liberal Arts,Anhui Normal University,Wuhu 241000,China)	https://ror.org/05fsfvw79
220	Dalian Naval Academy,Dalian 116018)	https://ror.org/014c1mf08
221	College of P	
222	Infection Prevention Coordinator, Madonna Rehabilitation Hospital	https://ror.org/015e6tf70
223	Department of Gastroenterology, First Hospital of Suzhou University, Suzhou 215006, China.	https://ror.org/051jg5p78
224	 University of Pennsylvania, Philadelphia, Pennsylvania, #N#USA	https://ror.org/00b30xv10
225	Zagazig University, Faculty of Science, Department of Physics, Zagazig, Egypt	https://ror.org/053g6we49
226	Federal University of Rio Grande do Sul, Felizardo 750, LAPEX Building/Room 222, 90690-200 Porto Alegre - Rio Grande do Sul - Brazil. jefferson.loss@ufrgs.br.	https://ror.org/041yk2d64
227	Federal University of Rio Grande do Sul,Brazil	https://ror.org/041yk2d64
228	***University of Illinois at Urbana-Champaign	https://ror.org/047426m28
229	Iowa State University (formerly University of Illinois Urbana-Champaign)	https://ror.org/047426m28
230	Iowa State University (formerly University of Illinois Urbana-Champaign)	https://ror.org/04rswrd78
231	Univ. College Dublin	https://ror.org/05m7pjf47
232	ABP Marine Environmental Research Ltd.	
233	Bournemouth University.	https://ror.org/05wwcw481
234	UN Environment World Conservation Monitoring Centre; University of Plymouth	https://ror.org/008n7pv89
235	UN Environment World Conservation Monitoring Centre; University of Plymouth	https://ror.org/04570b518
236	Bournemouth University	https://ror.org/05wwcw481
237	Institute of International Management (IMBA)	
238	National Cheng Kung University	https://ror.org/01b8kcc49
239	Medical Oncology, Dana‐Farber Cancer Institute, Harvard Medical School, Boston, MA, USA	https://ror.org/02jzgtq86
240	Medical Oncology, Dana‐Farber Cancer Institute, Harvard Medical School, Boston, MA, USA	https://ror.org/03wevmz92
241	Medical Oncology, Dana-Farber Cancer Institute, Boston VA Healthcare System, Harvard Medical School, Boston, MA, USA,	https://ror.org/02jzgtq86
242	Medical Oncology, Dana-Farber Cancer Institute, Boston VA Healthcare System, Harvard Medical School, Boston, MA, USA,	https://ror.org/04v00sg98
243	Medical Oncology, Dana-Farber Cancer Institute, Boston VA Healthcare System, Harvard Medical School, Boston, MA, USA,	https://ror.org/03wevmz92
244	Molecular Science Laboratory, National Institute of Immunology, New Delhi, India.	https://ror.org/04fhee747
245	Universidade Estadual do Centro-Oeste (Unicentro)	https://ror.org/03cxsty68
246	International and European Law	
247	Universidad de Costa Rica#TAB#	https://ror.org/02yzgww51
248	National Blood Transfusion Institute	
249	Academic Institute	
250	Stanford University School of Medicine;	https://ror.org/011pcwc98
251	Univerzitetni Klinicni Center Ljubljana	https://ror.org/01nr6fy72
252	Key Laboratory of Measurement & Control New Technology and System for Industrial Process, North China Electric Power University, Changping District, 102206 Beijing, China	https://ror.org/04qr5t414
253	State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Changping District, 102206 Beijing, China	https://ror.org/04qr5t414
254	State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Changping District, 102206 Beijing, China	https://ror.org/045hfth47
255	Sociedad Colombiana de Obstetricia y Ginecología	https://ror.org/03rf5a761
256	Leshan Normal university	https://ror.org/036cvz290
257	Department of Informatics and Mathematical Modeling	
258	Language-Based Technology, Department of Informatics and Mathematical Modeling	
259	UO Nefrologia e Dialisi, Ospedale San Bortolo & International Renal Research Institute Vicenza (IRRIV), Vicenza	https://ror.org/053q96737
260	UO Nefrologia e Dialisi, Ospedale San Bortolo & International Renal Research Institute Vicenza (IRRIV), Vicenza	https://ror.org/05wd86d64
261	UO Nefrologia e Dialisi, Ospedale Sant'Anna, ASST-Lariana, Como	https://ror.org/03bp6t645
262	UO Nefrologia e Dialisi, Ospedale Sant'Anna, ASST-Lariana, Como	https://ror.org/04m0kdq23
263	UO Nefrologia e Dialisi, Ospedale L. Parodi- Delfino, Colleferro, Roma	
264	UO Nefrologia, Dialisi e Ipertensione, IRCCS Ospedale San Raffaele, Milano	https://ror.org/039zxt351
265	UO Nefrologia e Dialisi, Ospedale San Gerardo, ASST Monza, Monza	https://ror.org/01xf83457
266	UO Nefrologia e Dialisi, Ospedale V. Fazzi, ASL Lecce, Lecce	https://ror.org/04fvmv716
267	College of Computer Science, Chongiqng University, Chongqing, China	https://ror.org/023rhb549
268	SurgeryWright State University, 3640 Colonel Glenn Hwy., 238 Health SciencesSchool of MedicineDaytonOH45435‐0001	https://ror.org/04qk6pt94
269	PathologyWright State University, 3640 Colonel Glenn Hwy., 053 Health SciencesSchool of MedicineDaytonOH45435‐0001	https://ror.org/04qk6pt94
270	Northwest Fisheries Science Center, Seattle.	https://ror.org/05r7z1k40
271	[Electronics Engineering Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil]	https://ror.org/0176yjw32
272	Smart Surveillance Interest Group, Computer Science Department, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil	https://ror.org/0176yjw32
273	Botany department, Hazara University, Mansehra, Pakistan	https://ror.org/018y22094
274	Botany Department Government Post Graduate College Mansehra, Pakistan; Botany department, Hazara University, Mansehra, Pakistan	https://ror.org/018y22094
